ID,etapa.de.ensino,area.de.conhecimento,formacao.continuada,unidade,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23
5e9e5333a861ff3b572b83a3,Ensino Superior,Ciências Exatas e da Terra;Engenharias,Pós-doutorado - Concluído;Doutorado - Concluído;Mestrado - Concluído;Graduação - Concluída;Formação continuada - Em andamento,UFAL A.C. Simões,5,5,5,4,3,4,1,4,4,3,5,4,4,5,1,4,2,4,3,3,1,2,4
5e9f09dea861ff5703fb71e4,Ensino Superior,Engenharias,NA,UFAL A.C. Simões,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,3,1,2,1,1
5e9f0c11a861ff57078b1350,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,3,4,3,3,3,4,5,2,5,5,2,4,4,4,2,4,3,3,4,4,2,4,3
5e9f308ca861ff57078b1385,Ensino Superior,Engenharias,NA,UFAL A.C. Simões,4,3,2,2,3,3,3,4,2,3,2,3,3,3,3,2,4,3,3,4,2,4,2
5e9f9ceea861ff5703fb72f0,Ensino Superior,Ciências Sociais Aplicadas,NA,UFAL A.C. Simões,2,2,2,2,1,2,2,2,1,2,2,3,2,3,3,3,2,2,2,2,1,2,2
5e9ff5e5a861ff6b26ef5c1e,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,4,2,1,1,1,2,2,3,3,2,2,4,2,2,3,3,2,1,3,2,2,3,2
5ea02a2fa861ff6b228ebcac,Ensino Superior,Ciências Exatas e da Terra,NA,UFAL A.C. Simões,5,2,2,2,3,2,3,2,3,3,3,5,2,5,2,5,2,3,4,3,3,2,3
5ea0321aa861ff6b26ef5c3e,Ensino Superior,Ciências da Saúde,NA,UFAL A.C. Simões,4,2,1,1,1,1,1,1,2,1,1,4,1,3,1,3,1,1,1,1,3,1,4
5ea03d1aa861ff6b228ebccc,Ensino Superior,Ciências Exatas e da Terra,Mestrado - Concluído,UFAL A.C. Simões,1,2,2,3,1,1,2,2,2,3,2,2,1,2,1,3,1,1,3,2,1,2,3
5ea04386a861ff6b228ebcf4,Ensino Superior,Engenharias;Ciências Biológicas;Ciências Exatas e da Terra,NA,UFAL A.C. Simões,4,5,4,2,3,2,1,2,3,3,3,3,2,3,3,4,2,2,1,3,2,2,3
5ea20211a861ff04117318db,Ensino Superior,Ciências Exatas e da Terra;Engenharias,NA,UFAL A.C. Simões,2,3,2,1,3,1,2,2,2,2,3,4,1,2,1,3,1,2,3,3,1,2,3
5ea26477a861ff040d5d236a,Ensino Superior,Ciências Humanas,NA,UFAL A.C. Simões,3,2,5,1,2,1,2,3,1,2,4,1,1,2,1,3,3,5,1,1,1,1,3
5ea5eb2aa861ff360e5f6110,Ensino Superior,Ciências Sociais Aplicadas,Formação continuada - Em andamento,UFAL A.C. Simões,3,2,2,3,1,1,3,2,2,2,3,5,3,3,3,5,3,1,3,4,3,2,3
5e883b87a861ff6760681bf3,Ensino Superior,Ciências Agrárias,NA,UFAL CECA,2,2,2,3,1,1,1,2,2,2,2,3,1,2,1,3,1,1,3,3,1,1,3
5e88e28aa861ff675c201d52,Ensino Superior,Engenharias,NA,UFAL CECA,2,1,2,2,1,2,2,4,4,4,2,4,2,3,3,5,4,2,3,3,3,4,5
5e8b0f58a861ff132c369fac,Ensino Superior,Ciências Agrárias,Formação continuada - Concluída,UFAL CECA,3,2,2,1,1,2,2,2,2,2,2,3,2,3,3,3,2,1,2,2,2,2,3
5e8b42f4a861ff6839af0a93,Ensino Superior,Ciências Agrárias,NA,UFAL CECA,3,2,1,2,1,3,2,3,3,2,2,4,2,4,1,4,2,1,4,3,2,3,3
5e8b83b5a861ff6839af110e,Ensino Superior,Ciências Agrárias,NA,UFAL CECA,2,4,3,3,3,3,3,3,3,3,3,4,2,3,2,5,1,1,3,3,3,2,3
5e8b9f2da861ff6835a5ccbc,Ensino Superior,Ciências Agrárias,NA,UFAL CECA,4,4,4,5,4,4,4,4,4,4,3,4,3,3,3,5,5,3,3,4,3,4,4
5e8bc468a861ff6835a5cd9f,Ensino Superior,Ciências Agrárias,NA,UFAL CECA,3,4,4,4,4,4,3,4,5,4,5,4,4,4,5,5,5,5,5,4,4,4,4
5e8c6c62a861ff6ff383c5d9,Ensino Superior,Ciências Exatas e da Terra,NA,UFAL CECA,2,2,2,2,1,1,1,2,1,1,2,4,2,3,2,4,2,1,1,1,1,1,2
5e8c8b93a861ff47f7768ef7,Ensino Superior,Ciências Agrárias,Formação continuada - Concluída,UFAL CECA,3,3,3,3,3,2,2,3,4,3,3,3,2,2,2,5,2,4,4,3,3,3,4
5e8cd187a861ff47fb25fe07,Ensino Superior,Ciências Agrárias,Formação continuada - Concluída,UFAL CECA,4,3,4,2,1,2,2,2,2,2,2,4,1,3,2,4,2,1,3,2,2,3,3
5e8cf435a861ff47f77690cb,Ensino Superior,Ciências Exatas e da Terra,Mestrado - Concluído,UFAL CECA,3,4,2,4,3,2,2,3,3,3,3,4,2,3,2,4,2,5,3,3,2,2,3
5e8dff61a861ff1ea2a1468e,Ensino Superior,Ciências Agrárias,Doutorado - Concluído,UFAL CECA,5,4,5,4,3,3,4,4,3,5,5,5,2,4,2,5,2,1,2,3,3,2,4
5e8f6d79a861ff3027b9481b,Ensino Superior,Ciências Agrárias,NA,UFAL CECA,2,3,3,1,1,2,2,3,2,2,2,3,1,3,2,3,3,1,2,2,3,2,2
5e91c82ca861ff59adc58006,Ensino Superior,Ciências Biológicas,NA,UFAL CECA,1,1,1,2,1,1,1,2,1,2,1,1,1,3,2,2,1,1,1,1,1,1,1
5e8cc3bda861ff47fb25fdb6,Ensino Superior,Ciências Agrárias,NA,UFAL CECA,2,2,2,2,1,1,1,2,2,2,2,3,5,2,2,3,2,1,2,2,1,2,2
5e964916a861ff59eaf4db1f,Ensino Superior,Engenharias,NA,UFAL CECA,4,3,3,2,2,1,1,4,4,3,3,4,2,4,3,4,2,2,4,3,2,1,3
5e8ccdbda861ff47f7769022,Ensino Superior,Ciências Agrárias,NA,UFAL CECA,4,3,5,3,3,1,3,3,3,3,3,4,2,3,2,3,2,1,4,3,3,2,3
